,benchmark,cores,frequency,power,throughput
1,klsm128,1,1200000,105.2392272,4243749
0,klsm128,1,1200000,105.2392272,4273766
4,klsm128,1,1200000,105.2392272,4276790
3,klsm128,1,1200000,105.2392272,4277757
2,klsm128,1,1200000,105.2392272,4279924
13,klsm128,8,1500000,129.37372439999996,38187736
10,klsm128,8,1500000,129.37372439999996,38319669
12,klsm128,8,1500000,129.37372439999996,38581411
11,klsm128,8,1500000,129.37372439999996,38803772
14,klsm128,8,1500000,129.37372439999996,39313542
22,klsm128,16,2000000,174.53813774999998,88944377
24,klsm128,16,2000000,174.53813774999998,89163025
21,klsm128,16,2000000,174.53813774999998,89628164
20,klsm128,16,2000000,174.53813774999998,89639212
23,klsm128,16,2000000,174.53813774999998,89872781
33,klsm128,24,2500000,205.7424805,121644001
31,klsm128,24,2500000,205.7424805,122409945
32,klsm128,24,2500000,205.7424805,123471425
34,klsm128,24,2500000,205.7424805,123505667
30,klsm128,24,2500000,205.7424805,123550373
41,klsm128,32,2800000,218.91792299999997,138611318
42,klsm128,32,2800000,218.91792299999997,142679466
44,klsm128,32,2800000,218.91792299999997,145112746
40,klsm128,32,2800000,218.91792299999997,147529003
43,klsm128,32,2800000,218.91792299999997,148134599
6,klsm256,1,1200000,105.2392272,4058139
8,klsm256,1,1200000,105.2392272,4063053
5,klsm256,1,1200000,105.2392272,4063838
9,klsm256,1,1200000,105.2392272,4065717
7,klsm256,1,1200000,105.2392272,4071910
16,klsm256,8,1500000,129.37372439999996,38404259
18,klsm256,8,1500000,129.37372439999996,38406047
17,klsm256,8,1500000,129.37372439999996,38473093
19,klsm256,8,1500000,129.37372439999996,38536386
15,klsm256,8,1500000,129.37372439999996,38679068
29,klsm256,16,2000000,174.53813774999998,91831315
28,klsm256,16,2000000,174.53813774999998,91864191
27,klsm256,16,2000000,174.53813774999998,92297835
26,klsm256,16,2000000,174.53813774999998,92530388
25,klsm256,16,2000000,174.53813774999998,92692823
37,klsm256,24,2500000,205.7424805,148496557
38,klsm256,24,2500000,205.7424805,150096837
36,klsm256,24,2500000,205.7424805,150101587
35,klsm256,24,2500000,205.7424805,150721838
39,klsm256,24,2500000,205.7424805,151338149
45,klsm256,32,2800000,218.91792299999997,196992192
47,klsm256,32,2800000,218.91792299999997,198563302
46,klsm256,32,2800000,218.91792299999997,199977867
49,klsm256,32,2800000,218.91792299999997,200345082
48,klsm256,32,2800000,218.91792299999997,202658557
